REP 	00:00:00:00	V1	White	(REP )  Det nya normala är liksom att det är hemska saker, ja fy sjutton.
LOFVEN	00:35:25:00	V1	White	(LOFVEN)  Det är bra uttryckt också som statsminister men när den här typen av personer som har varit en del av den svenska identiteten går bort. Då är det viktigt också att statsministern delar med sig av sina känslor.
REP 	00:35:38:00	V1	White	(REP )  Det är viktigt att människor ser att det blir en slags reaktion. En sorglig reaktion också från regeringschefen. Det tycker jag är viktigt.
LOFVEN	00:35:56:00	V1	White	(LOFVEN)  Du har ju nyligen fått kungens medalj, tolfte storleken i guld. Hur kändes det?
REP 	00:36:04:00	V1	White	(REP )  Det kändes stort. Det var roligt att vara med alla andra som också fick medalj. Vi var ganska många, jag kommer inte ihåg hur många men det kan ha varit ett 40-tal. Det kändes bra också att det var både regeringscheferna men också kultursektorn och andra sektorer av samhället. Så
REP 	00:36:04:00	V1	White	(REP )  det var en blandning som fick den här utmärkelsen. De olika utmärkelserna. Det speglar på något vis landet, det kändes väldigt bra. Jag sa några tackord också till kungen, både kungen och drottningen var ju med, just av det skälet att det uppmärksammas. Det som görs i det svenska
REP 	00:36:04:00	V1	White	(REP )  samhället och den speglingen av helheten och bredden tyckte jag var väldigt fin. Jag uppskattar naturligtvis också att min insats som regeringschef, att jag fick en medalj för det. Det uppskattas.
LOFVEN	00:37:06:00	V1	White	(LOFVEN)  Och nu, nästan 50 år efter att Torekovskompromissen tog bort ordensväsendet i Sverige så är det tillbaka igen. Hur kommer det sig?
REP 	00:37:15:00	V1	White	(REP )  Det har ju varit en en diskussion och utredning om hur man ska göra med det där och det är väl så att tiden går lite upp och ner och kanske i cirklar ibland. Där olika tider ger uttryck för olika åsikter helt enkelt. Jag förstår också att det diskuteras. Vad står det där för egentligen?
REP 	00:37:15:00	V1	White	(REP )  Men utredningen pekade i den här riktningen och det är så vi brukar hantera saker och ting. Vi gör det inte snabbt och impulsivt, utan vi får en frågeställning, man utreder det och sen levereras ett förslag som i det här fallet blev beslutat enligt den form.
LOFVEN	00:38:04:00	V1	White	(LOFVEN)  Jag tror att många av våra tittare kanske fantiserar och drömmer om det här. Som Askungen säger Vad är en bal på slottet? Du har varit på väldigt många middagar på slottet. Hur skulle du säga att en sådan egentligen går till?
REP 	00:38:19:00	V1	White	(REP )  Man anländer till slottet och går upp, samlas först utanför och minglar och folk pratar med varandra. Roligt att träffas. En del har man aldrig träffat förut, andra har man träffat förut. Efter ett tag så kommer kungafamiljen in och då har vi före det ställt upp oss så att kungafamiljen
REP 	00:38:19:00	V1	White	(REP )  kan gå runt och hälsa. Då får man stå i en viss ordning och när det är gjort så går kungafamiljen först in i matsalen. Är det så att man har besök också så kan det vara en hälsningsceremoni. Den statschef som är här blir då presenterad för alla. Då står man där i kön och så har man en lapp med
REP 	00:38:19:00	V1	White	(REP )  sitt namn och så lämnar man fram det. När det är ens tur så är det någon som läser upp att nu kommer den och den. Då går man fram och hälsar på statschefen som är på besök och naturligtvis dennes make eller maka och kungafamiljen Därefter så går man in och sen kommer kungafamiljen med gäster
REP 	00:38:19:00	V1	White	(REP )  in, man slår sig ner vid bordet och så börjar måltiden. Ofta väldigt väl avvägd i mängd, det är ju flera rätter, men det är det väldigt gott och det är väl avvägt så att det blir en väldigt bra middag.
LOFVEN	00:39:57:00	V1	White	(LOFVEN)  Vad tror du det betyder när vi har utländska ledare som kommer till Stockholm som du har möte med och sedan åker de upp på slottet antingen för en audiens hos kungen eller kanske till och med en lunch eller en middag. Spelar det någon roll i det stora sammanhanget?
REP 	00:40:15:00	V1	White	(REP )  Ja, jag vill påstå att det gör det, det märker jag på dem som jag har träffat. Oftast börjar man ju naturligtvis hos kungen och då är också regeringen med i mottagningen där uppe på slottsgården. Så står vi uppradade där tillsammans med andra och då går den besökande statschefen med
REP 	00:40:15:00	V1	White	(REP )  make eller maka förbi och hälsar på alla statsråden också. Men jag märker att det där har betydelse. De utländska statschefer som kommer hit tycker att det är högtidligt och att det ger något extra helt enkelt. Så det kan jag säga att jag har sett.
LOFVEN	00:41:02:00	V1	White	(LOFVEN)  Du har ju nu följt kungen på nära håll under de här åren. Har du några fina minnesobservationer som du har tänkt på att där borde folk få se mer av?
REP 	00:41:14:00	V1	White	(REP )  Kungen har ju också en varm humor tycker jag som kanske inte alltid tillåts komma fram i de officiella sammanhangen, möjligtvis. Vi har nog sett det i intervjuer eller när man får följa kungafamiljen. Slutet på året när det har spelats in om året som gått med kungafamiljen så kan
REP 	00:41:14:00	V1	White	(REP )  man få se mer av det. Men jag förstår det också att som statschef så tänker du på hur du agerar och så. Men det finns också tillfällen när det har kunnat skrattas lite mer vid olika festliga tillfällen. Så det är väl en sån sak som man möjligtvis kan nämna.
LOFVEN	00:42:03:00	V1	White	(LOFVEN)  Kungen kommer också öppna riksdagen. Är det viktigt att han gör det?
REP 	00:42:11:00	V1	White	(REP )  Det är klart att det skulle fungera också om det skedde på något annat sätt, om det var en annan formalia kring öppningen. Men när Sveriges riksdag öppnar, när de folkvalda samlas, detta är det högsta beslutande organ vi har i Sverige, så tycker jag att det ska vara högtidligt, formellt,
REP 	00:42:11:00	V1	White	(REP )  korrekt. Det tycker jag. Och just med den kompromiss som kom till med Torekov så känns det också bra tycker jag att statschefen är där och öppnar riksdagen och sedan när det är gjort så är det ju riksdagen som påbörjar sitt arbete. Det finns en tydlig distinktion i uppgifter där, uppgiftsfördelning.
REP 	00:42:11:00	V1	White	(REP )  Jag tycker att det är bra att det blir en sådan högtidlig öppning och jag tror att alla som sitter där känner så också. Det känns som en naturlig del av att så här börjar man riksdagsarbetet.
LOFVEN	00:43:04:00	V1	White	(LOFVEN)  50 år går fort kanske man kan säga, även om det är en väldigt lång tid. Om du tittar tillbaka. Vad är det för Sverige vi har idag jämfört med det Sverige som fanns 1973?
REP 	00:43:19:00	V1	White	(REP )  Ja, det är sån enorm skillnad naturligtvis. Man bara tänker teknikutveckling som har pågått och den politiska. År 1973 fick vi den första så kallade lotteririksdagen därför att valet slutade så att det blev 175/175 då fick man lotta fram vissa beslut vad gäller propositioner
REP 	00:43:19:00	V1	White	(REP )  och annat därför att det var precis lika mellan de två blocken som var då. Sen har det ju skett så oerhört mycket inne i landet och utom landet. Vi hade både Harrisburg, kärnkraftsolyckan där och i Tjernobyl, sedermera också Fukushima och den typen av händelser. Vi har sett ett kallt
REP 	00:43:19:00	V1	White	(REP )  krig som faktiskt gick över till något helt annat, mycket mera positivt i början på 90-talet och fram. Och nu är vi tillbaks i en mycket besvärligare situation. Men här ser man hur mycket som hinner hända under den här tiden. Sverige har naturligtvis utvecklats. Men det som är bestående
REP 	00:43:19:00	V1	White	(REP )  ändå är att Sverige även nu har en ganska framskjuten position. Vi är ju ingen stormakt på det sättet, men Sverige är intressant. Det var min upplevelse då också, utan att vara nära i politiken på det sättet. Men det var den bild jag hade att Sverige, det finns ett intresse och det har
REP 	00:43:19:00	V1	White	(REP )  jag definitivt märkt som regeringschef också. Sverige är litet men vi är intressanta och vi får ofta till bra samarbeten också med stora länder därför att vi har någonting att erbjuda i teknik och det sättet som vi arbetar. Den svenska modellen är intressant för många så där kanske
REP 	00:43:19:00	V1	White	(REP )  det ändå finns en likhet trots allt som har hänt. Sverige spelar roll. Det tycker jag är viktigt och det har nog varit så under hela den tiden som kungen har varit kung. Sen får jag ändå säga att jag tycker det är beundransvärt att under så många år vara statschef och fullfölja en sådan
REP 	00:43:19:00	V1	White	(REP )  uppgift som säkert inte alltid är lätt och att alltid ha formella krav på sig. Och 50 år är lång tid så det är bara att buga.
LOFVEN	00:45:41:00	V1	White	(LOFVEN)  Om du skulle få fira kungen på något sätt, unna honom någonting efter de här 50 åren som du vet att han skulle tycka om. Vad skulle du tycka då?
REP 	00:45:54:00	V1	White	(REP )  Jag tror hans familj vet det bättre. Men ändå det jag har lärt känna så tror jag någonting med att vara i naturen, i miljön, något bra firande, kanske i någon vacker skog eller kanske i en båt på havet, vad vet jag. Men någonting som har med naturen att göra skulle jag tro att kungen skulle
REP 	00:45:54:00	V1	White	(REP )  uppskatta.
LOFVEN	00:46:18:00	V1	White	(LOFVEN)  Ska jag fråga dig Jonas?
REP 	00:46:21:00	V1	White	(REP )  Ja, det var bara två saker som jag tänkte på när vi pratade om ordnarna. För de har delats ut till utländska personer. Men inte till Svenska. Kanske kan få in något av det bara.
REP 	00:46:36:00	V1	White	(REP )  Hur ska vi formulera frågan? Nu är ordensväsendet tillbaka igen och kan även tilldelas svenska medborgare.
LOFVEN	00:46:45:00	V1	White	(LOFVEN)  Ja.
REP 	00:46:46:00	V1	White	(REP )  Hur kommer det sig?
LOFVEN	00:46:49:00	V1	White	(LOFVEN)  Det är väl så att med tiden så förändras åsikter, det kan gå åt båda hållen. Det fanns en tid när man sa att vi ska inte delar ut ordnar till svenska medborgare, bara till utländska som det har varit hela tiden. Men nu kom det här upp igen och vi gör som vi brukar göra. Inga impulsiva, hastiga
LOFVEN	00:46:49:00	V1	White	(LOFVEN)  beslut om det absolut inte krävs. Och det krävdes inte här utan en utredning tillsätts, man går igenom vad skulle motivera det och hur skulle det fungera. Man lägger ett förslag och sen får det gehör. Så nu är vi tillbaks i det.
LOFVEN	00:47:22:00	V1	White	(LOFVEN)  Ska man bara säga något om att, jag vet inte om du vill nämna just att du är svenska medborgare. Det är så bra att vi ändå kan hylla svenskars insatser. Sen skulle jag vilja ha... För det är väldigt intressant med pandemin, för det var just en sån otroligt unik händelse, liksom vägen
LOFVEN	00:47:22:00	V1	White	(LOFVEN)  in i pandemin. Hur upplevde du när det här sköljer över världen?
REP 	00:47:58:00	V1	White	(REP )  När pandemin inleds och vi får information att någonting i Kina händer och sedermera kom det ju framför allt i Italien, norra Italien. Det dröjde ett tag innan vi fick det till Sverige. Men det förstod man att snart kommer det. När Folkhälsomyndigheten förklarar att nu är det här
REP 	00:47:58:00	V1	White	(REP )  en samhällsfarlig sjukdom, måste betraktas så, då fattar vi de beslut vi ska göra. Ja, nu är det en samhällsfarlig sjukdom därför att det ger myndigheterna en större frihet att agera om man exempelvis skulle behöva isolera ett bostadsområde eller på något sätt agera annorlunda
REP 	00:47:58:00	V1	White	(REP )  än i vanliga fall. Sedan så accelererar det väldigt kraftigt under våren med antal sjukdomsfall och dessvärre också antal avlidna. Det kommer som en kraftig våg över hela världen. Svårt att veta naturligtvis exakt hur länge kommer det här att vara? Jag sa bara väldigt tidigt att
REP 	00:47:58:00	V1	White	(REP )  nu får vi vara beredda på att det här kommer ta lång tid. Det var några som ville att man skulle nästan förklara det avslutat efter ett visst datum. Men det här bestämmer ju inte vi utan viruset är väldigt svår förutsägbart och det var det. Jag vet inte hur många varianter vi har haft
REP 	00:47:58:00	V1	White	(REP )  efteråt som visar att man måste ta i med ett långt tidsperspektiv för att inte lura sig själv. För om man tror att nu är det över och så är det ändå inte över och så tror man att det är över så är det ändå inte över så har man försvårat för sig själv. Men om man tar i tillräckligt, det här kommer
REP 	00:47:58:00	V1	White	(REP )  ta lång tid då förbereder man sig på ett annat sätt för det. Men det var en mycket märklig utveckling där. Det blev sån kraft i det.
LOFVEN	00:49:52:00	V1	White	(LOFVEN)  Fantastiskt va? Jag är jätte impad.
